id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,Fiction
PG111,Freckles,"Stratton-Porter, Gene",1863.0,1924.0,['en'],136.0,"{'People with disabilities -- Fiction', 'Indiana -- Fiction', 'Swamps -- Fiction', 'Orphans -- Fiction'}",Text,1
PG112,Violists,"McGowan, Richard",1958.0,,['en'],5.0,"{'Short stories', 'Love stories', 'Fathers and daughters -- Fiction', 'Violists -- Fiction'}",Text,1
PG113,The Secret Garden,"Burnett, Frances Hodgson",1849.0,1924.0,['en'],2785.0,"{'People with disabilities -- Fiction', 'Yorkshire (England) -- Fiction', 'Gardens -- Fiction', 'Orphans -- Fiction'}",Text,1
PG119,A Tramp Abroad,"Twain, Mark",1835.0,1910.0,['en'],1028.0,"{'Americans -- Europe -- Fiction', 'Europe -- Fiction', 'Humorous stories', 'Walking -- Fiction'}",Text,1
PG120,Treasure Island,"Stevenson, Robert Louis",1850.0,1894.0,['en'],7807.0,"{'Sea stories', 'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction'}",Text,1
PG121,Northanger Abbey,"Austen, Jane",1775.0,1817.0,['en'],2016.0,"{'Horror tales -- Appreciation -- Fiction', 'Books and reading -- Fiction', 'Satire', 'Marriage -- Economic aspects -- Fiction', 'Love stories', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Young women -- Fiction', 'Gentry -- England -- Fiction', 'Gothic fiction (Literary genre)'}",Text,1
PG122,The Return of the Native,"Hardy, Thomas",1840.0,1928.0,['en'],479.0,"{'People with visual disabilities -- Fiction', 'Mothers and sons -- Fiction', 'Love stories', 'Wessex (England) -- Fiction', 'Didactic fiction', 'Adultery -- Fiction', 'Heathlands -- Fiction', 'Mate selection -- Fiction'}",Text,1
PG123,At the Earth's Core,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],206.0,"{'Fantasy fiction', 'Science fiction', 'Earth (Planet) -- Core -- Fiction', 'Adventure stories'}",Text,1
PG125,A Girl of the Limberlost,"Stratton-Porter, Gene",1863.0,1924.0,['en'],219.0,"{'Indiana -- Fiction', 'Moths -- Fiction', 'Bildungsromans', 'Domestic fiction', 'Swamps -- Fiction', 'Conflict of generations -- Fiction', 'Didactic fiction', 'Mothers and daughters -- Fiction', 'Girls -- Fiction'}",Text,1
PG126,The Poison Belt,"Doyle, Arthur Conan",1859.0,1930.0,['en'],242.0,"{'Challenger, Professor (Fictitious character) -- Fiction', 'Science fiction'}",Text,1
PG131,"The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",1628.0,1688.0,['en'],1430.0,"{'Christian pilgrims and pilgrimages -- Fiction', 'Christian fiction'}",Text,1
PG133,The Damnation of Theron Ware,"Frederic, Harold",1856.0,1898.0,['en'],65.0,"{'Belief and doubt -- Fiction', 'New York (State) -- Fiction', 'Methodists -- Fiction', 'Psychological fiction', 'Clergy -- Fiction'}",Text,1
PG134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",1759.0,1797.0,['en'],124.0,"{'Women -- Fiction', 'Feminist fiction', 'Autobiographical fiction'}",Text,1
PG135,Les Misérables,"Hugo, Victor",1802.0,1885.0,['en'],4977.0,"{'Paris (France) -- Fiction', 'Epic literature', 'Ex-convicts -- Fiction', 'Orphans -- Fiction', 'Historical fiction'}",Text,1
PG137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",1849.0,1924.0,['en'],84.0,"{'Boarding schools -- Fiction', 'Schools -- Fiction', 'London (England) -- Fiction', 'Orphans -- Fiction'}",Text,1
PG139,The Lost World,"Doyle, Arthur Conan",1859.0,1930.0,['en'],1333.0,"{'Prehistoric peoples -- Fiction', 'South America -- Fiction', 'Challenger, Professor (Fictitious character) -- Fiction', 'Dinosaurs -- Fiction', 'Fantasy fiction'}",Text,1
PG140,The Jungle,"Sinclair, Upton",1878.0,1968.0,['en'],1385.0,"{'Immigrants -- Fiction', 'Political fiction', 'Meat industry and trade -- Fiction', 'Chicago (Ill.) -- Fiction', 'Working class -- Fiction', 'Lithuanian Americans -- Fiction', 'Stockyards -- Fiction'}",Text,1
PG141,Mansfield Park,"Austen, Jane",1775.0,1817.0,['en'],2904.0,"{'Domestic fiction', 'Uncles -- Fiction', 'Love stories', 'Children of the rich -- Fiction', 'England -- Fiction', 'Cousins -- Fiction', 'Country homes -- Fiction', 'Young women -- Fiction', 'Adoptees -- Fiction'}",Text,1
PG142,"The $30,000 Bequest, and Other Stories","Twain, Mark",1835.0,1910.0,['en'],390.0,"{'United States -- Social life and customs -- Fiction', 'Humorous stories, American', 'Short stories'}",Text,1
PG143,The Mayor of Casterbridge,"Hardy, Thomas",1840.0,1928.0,['en'],495.0,"{'Mayors -- Fiction', 'Fathers and daughters -- Fiction', 'Runaway husbands -- Fiction', 'Wessex (England) -- Fiction', 'Men -- England -- Fiction', 'Psychological fiction', 'Atonement -- Fiction'}",Text,1
PG144,The Voyage Out,"Woolf, Virginia",1882.0,1941.0,['en'],424.0,"{'Bildungsromans', 'Love stories', 'Women travelers -- Fiction', 'Ocean travel -- Fiction', 'British -- South America -- Fiction', 'Young women -- Fiction'}",Text,1
PG145,Middlemarch,"Eliot, George",1819.0,1880.0,['en'],2050.0,"{'Bildungsromans', 'Married people -- Fiction', 'Domestic fiction', 'Love stories', 'Didactic fiction', 'England -- Fiction', 'Young women -- Fiction', 'City and town life -- Fiction'}",Text,1
